fiscal_year,place_of_performance_state_code,place_of_performance_country_code,obligation_nominal,fy_total,share
,VA,USA,120626410031.21,,
,,AFG,105889838538.63,,
,CA,USA,101123423731.21,,
,AL,USA,90775314971.99,,
,,IRQ,75991188742.17,,
,MA,USA,59897698568.22,,
,MD,USA,57995926539.55,,
,TX,USA,52625414158.59,,
,PA,USA,36065673786.52,,
,FL,USA,34659762128.43,,
,MO,USA,25400785453.22,,
,MI,USA,23865454512.55,,
,,KWT,18075921633.41,,
,CO,USA,15326021282.28,,
,GA,USA,14012173867.75,,
,UT,USA,13546186578.99,,
,NY,USA,13482618208.26,,
,NJ,USA,12261552965.61,,
,WI,USA,11193117286.75,,
,OH,USA,9631798111.77,,
,WA,USA,8861818792.93,,
,IL,USA,8614401432.87,,
,AZ,USA,8489836001.39,,
,NH,USA,7463827430.84,,
,,DEU,7443480499.47,,
,CT,USA,7079125587.7,,
,OK,USA,6943815239.97,,
,DC,USA,6607362457.21,,
,SC,USA,6439588896.71,,
,IA,USA,6401237192.62,,
,KY,USA,6089324454.01,,
,NC,USA,6012288629.45,,
,TN,USA,4204081962.85,,
,,QAT,3584520894.42,,
,IN,USA,3484225896.5299997,,
,,JPN,3333174263.7400002,,
,,SAU,3020712141.21,,
,LA,USA,2842183415.77,,
,NM,USA,2725484420.75,,
,,POL,2463651102.99,,
,KS,USA,2463003331.33,,
,VT,USA,1874491931.64,,
,MN,USA,1694221024.4299998,,
,MS,USA,1578063704.12,,
,NV,USA,1574992686.88,,
,HI,USA,1371557994.39,,
,GU,USA,1360654515.67,,
,,CAF,1318208929.28,,
,AK,USA,1242747110.98,,
,,BHR,1172160206.05,,
,PR,USA,1147142668.6100001,,
,,KOR,1046118383.9399999,,
,,ARE,1008318893.77,,
,NE,USA,827024496.45,,
,OR,USA,723465865.8499999,,
,,FRA,707544781.0600001,,
,,GEO,680569304.6700001,,
,,GBR,567406561.79,,
,,JOR,528079431.33,,
,WV,USA,512982702.85,,
,MT,USA,487098133.86,,
,,DJI,458383456.86,,
,AR,USA,422082482.16999996,,
,,UZB,420387173.93,,
,ME,USA,400370971.95,,
,,CAN,369155817.57,,
,,KAZ,304177661.8,,
,,BGR,291002894.33000004,,
,,AZE,264231521.68,,
,,UKR,233206196.10000002,,
,,ITA,209695930.46,,
,,ARM,198067735.77,,
,,ISR,197767937.8,,
,,GRL,178798884.76,,
,,PHL,167408183.89,,
,,LBY,158838995.10000002,,
,,TUN,158140555.46,,
,,AUS,147494888.94,,
,WY,USA,141399721.9,,
,RI,USA,137386657.63,,
,,LBR,133173670.53,,
,,LBN,132446990.61,,
,,HND,125973985.03,,
,,ESP,109012423.6,,
,,TUR,108509848.60000001,,
,,CHN,104225622.87,,
,,VNM,103801676.68,,
,,SYR,102413769.9,,
,,CUB,96588853.38,,
,,GAB,95559197.72,,
,,SOM,95045978.55000001,,
,,BFA,92890194.83000001,,
,,TWN,87106351.6,,
,,SWE,85612560.31,,
,ND,USA,73482494.53,,
,ID,USA,62111888.26,,
,,COL,52466806.769999996,,
,,ROU,47850579.27,,
,,IOT,46457412.63,,
,MP,USA,46210793.66,,
,,NOR,34586780.08,,
,,OMN,30658055.24,,
,,LTU,29034412.880000003,,
,MH,USA,29019906.080000002,,
,,ZAF,28077856.08,,
,,SHN,26912079.08,,
,,XKS,22903129.85,,
,,UGA,20315344.36,,
,,BRB,20073729.6,,
,DE,USA,16510572.36,,
,,IDN,16447978.129999999,,
,,DNK,15821851.379999999,,
,,CMR,14935927.31,,
,,GIB,14303570.54,,
,SD,USA,14257486.4,,
,,NER,13558034.54,,
,,EGY,10506594.85,,
,,MEX,10419366.139999999,,
,,ISL,9762321.74,,
,,BEL,7023691.470000001,,
,,LVA,6975406.03,,
,,BHS,6670695.0600000005,,
,,NZL,6378721.42,,
,,NLD,5491154.65,,
,,SLV,4972330.74,,
,,EST,4957420.86,,
,,KHM,4499546.37,,
,,NPL,4255763.63,,
,AS,USA,3630077.3499999996,,
,,DGA,3627473.24,,
,,PER,3506725.29,,
,,PAN,2390474.88,,
,,GTM,2108958.7199999997,,
,,GRC,1959073.5,,
,,TGO,1897935.82,,
,PW,USA,1267599.0,,
,,BGD,1064115.2,,
,,HRV,974780.9500000001,,
,,KEN,894728.8200000001,,
,,ATA,788775.61,,
,,TZA,765180.24,,
,,MRT,633817.0,,
,,NGA,627620.0,,
,,LKA,612437.12,,
,FM,USA,454600.0,,
,,MAR,440550.0,,
,,SGP,401763.68,,
,,PAK,270353.82,,
,,CHE,186250.0,,
,,HMD,114976.28,,
,,TCD,85540.0,,
,,BLZ,27599.5,,
,,GHA,15600.0,,
,,MYS,12633.54,,
,,BIH,4792.99,,
,VI,USA,0.0,,
,,MUS,0.0,,
